MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:103201,Aqp1,aquaporin 1,6,,ammonium transmembrane transporter activity,,,IBA,PTN002709505 ,J:265628 
MGI:103201,Aqp1,aquaporin 1,6,,ammonium transmembrane transporter activity,,,ISO,P29972 ,J:164563 
MGI:103201,Aqp1,aquaporin 1,6,,intracellular cGMP-activated cation channel activity,,,ISO,P29972 ,J:164563 
MGI:103201,Aqp1,aquaporin 1,6,,potassium channel activity,,,ISO,P29972 ,J:164563 
MGI:103201,Aqp1,aquaporin 1,6,,potassium ion transmembrane transporter activity,,,IDA,,J:161102 
MGI:1341204,Aqp6,aquaporin 6,15,,nitrate transmembrane transporter activity,,,IBA,PTN001452348 ,J:265628 
MGI:1341204,Aqp6,aquaporin 6,15,,nitrate transmembrane transporter activity,,,ISO,RGD:71100 ,J:155856 
MGI:1194915,Asic1,acid-sensing (proton-gated) ion channel 1,15,,acid-sensing ion channel activity,,,IDA,,J:219161 
MGI:1194915,Asic1,acid-sensing (proton-gated) ion channel 1,15,,acid-sensing ion channel activity,,,ISO,P78348 ,J:164563 
MGI:1194915,Asic1,acid-sensing (proton-gated) ion channel 1,15,,cation channel activity,,,IDA,,J:74681 
MGI:1194915,Asic1,acid-sensing (proton-gated) ion channel 1,15,,cation channel activity,,,IMP,MGI:2179834 ,J:74681 
MGI:1194915,Asic1,acid-sensing (proton-gated) ion channel 1,15,,ion channel activity,,,ISO,RGD:71062 ,J:155856 
MGI:1194915,Asic1,acid-sensing (proton-gated) ion channel 1,15,,ligand-gated sodium channel activity,,,IEA,IPR004724 ,J:72247 
MGI:1194915,Asic1,acid-sensing (proton-gated) ion channel 1,15,,monovalent inorganic cation transmembrane transporter activity,,,ISO,P55926 ,J:73065 
MGI:1194915,Asic1,acid-sensing (proton-gated) ion channel 1,15,,sodium channel activity,,,IEA,IPR001873 IPR020903 ,J:72247 
MGI:1194915,Asic1,acid-sensing (proton-gated) ion channel 1,15,,sodium channel activity,,,IEA,KW-0894 ,J:60000 
MGI:1100867,Asic2,acid-sensing (proton-gated) ion channel 2,11,,cation channel activity,,,IDA,,J:74681 
MGI:1100867,Asic2,acid-sensing (proton-gated) ion channel 2,11,,cation channel activity,,,IMP,MGI:2180111 ,J:74681 
MGI:1100867,Asic2,acid-sensing (proton-gated) ion channel 2,11,,ion channel activity,"happens in spinal cord,happens in neuron",,IDA,,J:131953 
MGI:1100867,Asic2,acid-sensing (proton-gated) ion channel 2,11,,ion channel activity,,,ISO,RGD:2017 ,J:155856 
MGI:1100867,Asic2,acid-sensing (proton-gated) ion channel 2,11,,ligand-gated sodium channel activity,,,IDA,,J:44171 J:68839 
MGI:1100867,Asic2,acid-sensing (proton-gated) ion channel 2,11,,sodium channel activity,,,IEA,IPR001873 IPR020903 ,J:72247 
MGI:1100867,Asic2,acid-sensing (proton-gated) ion channel 2,11,,sodium channel activity,,,IEA,KW-0894 ,J:60000 
MGI:1100867,Asic2,acid-sensing (proton-gated) ion channel 2,11,,voltage-gated sodium channel activity,,,ISO,RGD:2017 ,J:155856 
MGI:2159339,Asic3,acid-sensing (proton-gated) ion channel 3,5,,cation channel activity,,,IDA,,J:74681 
MGI:2159339,Asic3,acid-sensing (proton-gated) ion channel 3,5,,cation channel activity,,,IMP,MGI:2429689 ,J:74681 
MGI:2159339,Asic3,acid-sensing (proton-gated) ion channel 3,5,,cation channel activity,,,TAS,,J:73505 
MGI:2159339,Asic3,acid-sensing (proton-gated) ion channel 3,5,,enterobactin transmembrane transporter activity,"happens in dorsal root ganglion,happens in neuron",,IMP,MGI:2429689 ,J:164935 
MGI:2159339,Asic3,acid-sensing (proton-gated) ion channel 3,5,,ligand-gated sodium channel activity,,,ISO,O35240 ,J:73065 
MGI:2159339,Asic3,acid-sensing (proton-gated) ion channel 3,5,,ligand-gated sodium channel activity,,,ISO,RGD:708578 ,J:155856 
MGI:2159339,Asic3,acid-sensing (proton-gated) ion channel 3,5,,sodium channel activity,,,IEA,IPR001873 IPR020903 ,J:72247 
MGI:2159339,Asic3,acid-sensing (proton-gated) ion channel 3,5,,sodium channel activity,,,IEA,KW-0894 ,J:60000 
MGI:2652846,Asic4,acid-sensing (proton-gated) ion channel family member 4,1,,sodium channel activity,,,IEA,IPR001873 IPR020903 ,J:72247 
MGI:2652846,Asic4,acid-sensing (proton-gated) ion channel family member 4,1,,sodium channel activity,,,IEA,KW-0894 ,J:60000 
MGI:1929259,Asic5,acid-sensing (proton-gated) ion channel family member 5,3,NOT,ligand-gated sodium channel activity,,,IDA,,J:166385 
MGI:1929259,Asic5,acid-sensing (proton-gated) ion channel family member 5,3,,ligand-gated sodium channel activity,,,ISO,Y19034 ,J:66332 
MGI:1929259,Asic5,acid-sensing (proton-gated) ion channel family member 5,3,,proton channel activity,,,IDA,,J:166385 
MGI:1929259,Asic5,acid-sensing (proton-gated) ion channel family member 5,3,,sodium channel activity,,,IDA,,J:166385 
MGI:88105,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",3,,"potassium transmembrane transporter activity, phosphorylative mechanism",,,IEA,IPR005775 ,J:72247 
MGI:88105,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",3,,sodium:potassium-exchanging ATPase activity,,,IBA,PTN000643123 ,J:265628 
MGI:88105,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",3,,sodium:potassium-exchanging ATPase activity,,,IDA,,J:203477 
MGI:88105,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",3,,sodium:potassium-exchanging ATPase activity,happens in heart,,IMP,,J:55191 
MGI:88105,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",3,,sodium:potassium-exchanging ATPase activity,happens in metanephros,,IMP,,J:95157 
MGI:88105,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",3,,sodium:potassium-exchanging ATPase activity,,,ISO,RGD:2167 ,J:155856 
MGI:88105,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",3,,sodium:potassium-exchanging ATPase activity,,,ISO,P05023 ,J:164563 
MGI:88105,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",3,contributes_to,sodium:potassium-exchanging ATPase activity,,,ISO,RGD:2167 ,J:155856 
MGI:88106,Atp1a2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",1,,ATPase-coupled cation transmembrane transporter activity,,,ISO,RGD:2168 ,J:155856 
MGI:88106,Atp1a2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",1,,ATPase-coupled cation transmembrane transporter activity,,,ISO,P50993 ,J:164563 
MGI:88106,Atp1a2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",1,,"potassium transmembrane transporter activity, phosphorylative mechanism",,,IEA,IPR005775 ,J:72247 
MGI:88106,Atp1a2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",1,,sodium:potassium-exchanging ATPase activity,,,IBA,PTN000643123 ,J:265628 
MGI:88106,Atp1a2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",1,,sodium:potassium-exchanging ATPase activity,,,ISO,RGD:2168 ,J:155856 
MGI:88106,Atp1a2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",1,,sodium:potassium-exchanging ATPase activity,,,ISO,P50993 ,J:164563 
MGI:88106,Atp1a2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",1,contributes_to,sodium:potassium-exchanging ATPase activity,,,ISO,P50993 ,J:164563 
MGI:88107,Atp1a3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",7,,"potassium transmembrane transporter activity, phosphorylative mechanism",,,IEA,IPR005775 ,J:72247 
MGI:88107,Atp1a3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",7,,sodium:potassium-exchanging ATPase activity,,,IBA,PTN000643123 ,J:265628 
MGI:88107,Atp1a3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",7,,sodium:potassium-exchanging ATPase activity,,,ISO,P13637 ,J:164563 
MGI:88107,Atp1a3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",7,,sodium:potassium-exchanging ATPase activity involved in regulation of cardiac muscle cell membrane potential,,,IGI,A2ASQ1 ,J:151007 
MGI:1351335,Atp1a4,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",1,,ATPase-coupled cation transmembrane transporter activity,,,ISO,Q13733 ,J:164563 
MGI:1351335,Atp1a4,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",1,,"potassium transmembrane transporter activity, phosphorylative mechanism",,,IEA,IPR005775 ,J:72247 
MGI:1351335,Atp1a4,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",1,,sodium:potassium-exchanging ATPase activity,,,IBA,PTN000643123 ,J:265628 
MGI:1351335,Atp1a4,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",1,,sodium:potassium-exchanging ATPase activity,,,IDA,,J:203477 
MGI:1351335,Atp1a4,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",1,,sodium:potassium-exchanging ATPase activity,happens in sperm,,IMP,MGI:4941050 ,J:169420 
MGI:1351335,Atp1a4,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",1,,sodium:potassium-exchanging ATPase activity,,,ISO,Q64541 ,J:73065 
MGI:1351335,Atp1a4,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",1,,sodium:potassium-exchanging ATPase activity,,,ISO,Q13733 ,J:164563 
MGI:88108,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",1,contributes_to,ATPase-coupled cation transmembrane transporter activity,,,ISO,P05026 ,J:164563 
MGI:88108,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",1,contributes_to,sodium:potassium-exchanging ATPase activity,,,IBA,PTN000897489 ,J:265628 
MGI:88108,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",1,contributes_to,sodium:potassium-exchanging ATPase activity,happens in heart,,IMP,,J:152596 
MGI:88108,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",1,,sodium:potassium-exchanging ATPase activity,,,ISO,RGD:2170 ,J:155856 
MGI:88108,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",1,contributes_to,sodium:potassium-exchanging ATPase activity,,,ISO,P05026 ,J:164563 
MGI:88109,Atp1b2,"ATPase, Na+/K+ transporting, beta 2 polypeptide",11,contributes_to,sodium:potassium-exchanging ATPase activity,,,IBA,PTN000897489 ,J:265628 
MGI:88109,Atp1b2,"ATPase, Na+/K+ transporting, beta 2 polypeptide",11,,sodium:potassium-exchanging ATPase activity,,,ISO,RGD:2171 ,J:155856 
MGI:88109,Atp1b2,"ATPase, Na+/K+ transporting, beta 2 polypeptide",11,,sodium:potassium-exchanging ATPase activity,,,ISO,P14415 ,J:164563 
MGI:88109,Atp1b2,"ATPase, Na+/K+ transporting, beta 2 polypeptide",11,contributes_to,sodium:potassium-exchanging ATPase activity,,,ISO,P14415 ,J:164563 
MGI:107788,Atp1b3,"ATPase, Na+/K+ transporting, beta 3 polypeptide",9,contributes_to,ATPase-coupled cation transmembrane transporter activity,,,ISO,P54709 ,J:164563 
MGI:107788,Atp1b3,"ATPase, Na+/K+ transporting, beta 3 polypeptide",9,contributes_to,sodium:potassium-exchanging ATPase activity,,,IBA,PTN000897489 ,J:265628 
MGI:107788,Atp1b3,"ATPase, Na+/K+ transporting, beta 3 polypeptide",9,,sodium:potassium-exchanging ATPase activity,,,ISO,P54709 ,J:164563 
MGI:107788,Atp1b3,"ATPase, Na+/K+ transporting, beta 3 polypeptide",9,contributes_to,sodium:potassium-exchanging ATPase activity,,,ISO,P54709 ,J:164563 
MGI:107788,Atp1b3,"ATPase, Na+/K+ transporting, beta 3 polypeptide",9,,sodium:potassium-exchanging ATPase activity,,,ISO,RGD:2172 ,J:155856 
MGI:105058,Atp2a1,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",7,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000643382 ,J:265628 
MGI:105058,Atp2a1,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",7,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,RGD:621293 ,J:155856 
MGI:105058,Atp2a1,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",7,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,O14983 ,J:164563 
MGI:105058,Atp2a1,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",7,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,Q64578 ,J:73065 
MGI:105058,Atp2a1,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",7,,"proton-exporting ATPase activity, phosphorylative mechanism",,,IBA,PTN001943383 ,J:265628 
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000643382 ,J:265628 
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,IDA,,J:84955 
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,"calcium transmembrane transporter activity, phosphorylative mechanism",happens in heart,,IDA,,J:52436 
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,RGD:2174 ,J:155856 
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,P16615 ,J:164563 
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential,,,IBA,PTN000643405 ,J:265628 
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential,,,ISO,RGD:2174 ,J:155856 
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,"proton-exporting ATPase activity, phosphorylative mechanism",,,IBA,PTN001943383 ,J:265628 
MGI:1194503,Atp2a3,"ATPase, Ca++ transporting, ubiquitous",11,,calcium ion transmembrane transporter activity,,,ISO,RGD:2175 ,J:155856 
MGI:1194503,Atp2a3,"ATPase, Ca++ transporting, ubiquitous",11,,calcium ion transmembrane transporter activity,,,ISO,Q93084 ,J:164563 
MGI:1194503,Atp2a3,"ATPase, Ca++ transporting, ubiquitous",11,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000643382 ,J:265628 
MGI:1194503,Atp2a3,"ATPase, Ca++ transporting, ubiquitous",11,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,RGD:2175 ,J:155856 
MGI:1194503,Atp2a3,"ATPase, Ca++ transporting, ubiquitous",11,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,Q93084 ,J:164563 
MGI:1194503,Atp2a3,"ATPase, Ca++ transporting, ubiquitous",11,,"proton-exporting ATPase activity, phosphorylative mechanism",,,IBA,PTN001943383 ,J:265628 
MGI:104653,Atp2b1,"ATPase, Ca++ transporting, plasma membrane 1",10,,ATPase-coupled cation transmembrane transporter activity,,,IBA,PTN000642960 ,J:265628 
MGI:104653,Atp2b1,"ATPase, Ca++ transporting, plasma membrane 1",10,,calcium ion transmembrane transporter activity,,,ISO,P20020 ,J:164563 
MGI:104653,Atp2b1,"ATPase, Ca++ transporting, plasma membrane 1",10,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000643812 ,J:265628 
MGI:104653,Atp2b1,"ATPase, Ca++ transporting, plasma membrane 1",10,,calcium-transporting ATPase activity involved in regulation of presynaptic cytosolic calcium ion concentration,,,ISO,P20020 ,J:164563 
MGI:105368,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",6,,ATPase-coupled cation transmembrane transporter activity,,,IBA,PTN000642960 ,J:265628 
MGI:105368,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",6,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000643812 ,J:265628 
MGI:105368,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",6,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,RGD:2176 ,J:155856 
MGI:105368,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",6,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,Q01814 ,J:164563 
MGI:105368,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",6,,calcium-transporting ATPase activity involved in regulation of postsynaptic cytosolic calcium ion concentration,,,ISO,Q01814 ,J:164563 
MGI:105368,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",6,,calcium-transporting ATPase activity involved in regulation of presynaptic cytosolic calcium ion concentration,,,ISO,Q01814 ,J:164563 
MGI:1347353,Atp2b3,"ATPase, Ca++ transporting, plasma membrane 3",X,,ATPase-coupled cation transmembrane transporter activity,,,IBA,PTN000642960 ,J:265628 
MGI:1347353,Atp2b3,"ATPase, Ca++ transporting, plasma membrane 3",X,,calcium ion transmembrane transporter activity,,,ISO,Q16720 ,J:164563 
MGI:1347353,Atp2b3,"ATPase, Ca++ transporting, plasma membrane 3",X,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000643812 ,J:265628 
MGI:1347353,Atp2b3,"ATPase, Ca++ transporting, plasma membrane 3",X,,calcium-transporting ATPase activity involved in regulation of presynaptic cytosolic calcium ion concentration,,,ISO,Q16720 ,J:164563 
MGI:88111,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",1,,ATPase-coupled cation transmembrane transporter activity,,,IBA,PTN000642960 ,J:265628 
MGI:88111,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",1,,calcium ion transmembrane transporter activity,,,ISO,P23634 ,J:164563 
MGI:88111,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",1,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000643812 ,J:265628 
MGI:88111,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",1,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,RGD:621305 ,J:155856 
MGI:88111,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",1,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,P23634 ,J:164563 
MGI:1889008,Atp2c1,"ATPase, Ca++-sequestering",9,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000643689 ,J:265628 
MGI:1889008,Atp2c1,"ATPase, Ca++-sequestering",9,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,RGD:621311 ,J:155856 
MGI:1889008,Atp2c1,"ATPase, Ca++-sequestering",9,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,ISO,P98194 ,J:164563 
MGI:1889008,Atp2c1,"ATPase, Ca++-sequestering",9,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,TAS,,J:64183 
MGI:1889008,Atp2c1,"ATPase, Ca++-sequestering",9,,"manganese transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000643689 ,J:265628 
MGI:1889008,Atp2c1,"ATPase, Ca++-sequestering",9,,"manganese transmembrane transporter activity, phosphorylative mechanism",,,ISO,P98194 ,J:164563 
MGI:1889008,Atp2c1,"ATPase, Ca++-sequestering",9,,"proton-exporting ATPase activity, phosphorylative mechanism",,,IBA,PTN001943383 ,J:265628 
MGI:1916297,Atp2c2,"ATPase, Ca++ transporting, type 2C, member 2",8,,"calcium transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000643689 ,J:265628 
MGI:1916297,Atp2c2,"ATPase, Ca++ transporting, type 2C, member 2",8,,"manganese transmembrane transporter activity, phosphorylative mechanism",,,IBA,PTN000643689 ,J:265628 
MGI:1916297,Atp2c2,"ATPase, Ca++ transporting, type 2C, member 2",8,,"proton-exporting ATPase activity, phosphorylative mechanism",,,IBA,PTN001943383 ,J:265628 
MGI:88113,Atp4a,"ATPase, H+/K+ exchanging, gastric, alpha polypeptide",7,,"potassium transmembrane transporter activity, phosphorylative mechanism",,,IEA,IPR005775 ,J:72247 
MGI:88113,Atp4a,"ATPase, H+/K+ exchanging, gastric, alpha polypeptide",7,,potassium:proton exchanging ATPase activity,,,IBA,PTN001184895 ,J:265628 
MGI:88113,Atp4a,"ATPase, H+/K+ exchanging, gastric, alpha polypeptide",7,,potassium:proton exchanging ATPase activity,,,IDA,,J:26578 
MGI:88113,Atp4a,"ATPase, H+/K+ exchanging, gastric, alpha polypeptide",7,,sodium:potassium-exchanging ATPase activity,,,IBA,PTN000643123 ,J:265628 
MGI:88114,Atp4b,"ATPase, H+/K+ exchanging, beta polypeptide",8,,potassium:proton exchanging ATPase activity,,,ISO,P18597 ,J:26578 
MGI:88114,Atp4b,"ATPase, H+/K+ exchanging, beta polypeptide",8,contributes_to,sodium:potassium-exchanging ATPase activity,,,IBA,PTN000897489 ,J:265628 
MGI:88115,Atp5a1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1",18,,"proton-transporting ATP synthase activity, rotational mechanism",,,IBA,PTN000389891 ,J:265628 
MGI:88115,Atp5a1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1",18,,"proton-transporting ATP synthase activity, rotational mechanism",,,IMP,,J:123729 
MGI:88115,Atp5a1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1",18,,"proton-transporting ATP synthase activity, rotational mechanism",,,ISO,P25705 ,J:164563 
MGI:88115,Atp5a1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1",18,contributes_to,"proton-transporting ATP synthase activity, rotational mechanism",,,ISO,P25705 ,J:164563 
MGI:107801,Atp5b,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit",10,contributes_to,"proton-transporting ATP synthase activity, rotational mechanism",,,IBA,PTN000390017 ,J:265628 
MGI:107801,Atp5b,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit",10,,"proton-transporting ATP synthase activity, rotational mechanism",,,ISO,P06576 ,J:164563 
MGI:107801,Atp5b,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit",10,contributes_to,"proton-transporting ATP synthase activity, rotational mechanism",,,ISO,P06576 ,J:164563 
MGI:107801,Atp5b,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit",10,,"proton-transporting ATPase activity, rotational mechanism",,,ISO,P06576 ,J:164563 
MGI:1261437,Atp5c1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1",2,contributes_to,"proton-transporting ATP synthase activity, rotational mechanism",,,IBA,PTN000190379 ,J:265628 
